price,Locality,Area,Possession Status,Furnishing Status,Number of Rooms,Number of Bathroom,Number of Parking,View /Facing,Floor No.,Additional Rooms,Age of Property (Years),Total Floor Count,clustering
112.00000000000001,Kollur,2237.1499999999996,Under Construction,Unfurnished,3,3,1,East,3.0,Pooja Room,0-1,15.0,high
140.0,Madhapur,1950.0,Under Construction,Semi-Furnished,3,3,2,East,3.0,Pooja Room,0-1,5.0,high
83.77,Bn Reddy Nagar,1611.0,Ready To Move,Unfurnished,2,2,1,North,1.0,"Pooja Room,Study Room",0-1,1.0,low
140.0,Hafeezpet,2237.1499999999996,Ready To Move,Furnished,3,4,2,East,7.0,Pooja Room,2-4,10.0,high
28.92,Shamirpet,1205.0,Ready To Move,Unfurnished,2,2,2,East,5.0,Pooja Room,0-1,5.0,premium
22.5,Yadagirigutta,1000.0,Under Construction,Unfurnished,2,2,1,East,2.0,"Study Room,Extra Room",0-1,5.0,premium
50.8,Kollur,1155.0,Under Construction,Unfurnished,2,2,1,East,2.0,Pooja Room,0-1,15.0,premium
43.2,Bhanur,1440.0,Under Construction,Unfurnished,3,3,2,East,3.0,Study Room,0-1,10.0,low
36.0,Medchal,1190.0,Under Construction,Semi-Furnished,2,3,1,East,2.0,Pooja Room,2-4,4.0,premium
52.0,Boduppal,1250.0,Ready To Move,Furnished,2,2,2,West,3.0,Pooja Room,10+,4.0,premium
39.9,Rajendra Nagar,950.0,Ready To Move,Unfurnished,2,2,1,East,18.0,Servant Room,0-1,5.0,premium
50.0,Gajularamaram,1050.0,Ready To Move,Unfurnished,2,2,2,East,1.0,Pooja Room,0-1,5.0,premium
98.0,Kollur,2237.1499999999996,Under Construction,Unfurnished,3,3,1,West,5.0,Pooja Room,0-1,1.0,high
72.0,Turkayamjal,1440.0,Ready To Move,Unfurnished,3,3,1,East,1.0,Pooja Room,0-1,5.0,low
34.48,Bacharam,1150.0,Under Construction,Unfurnished,2,2,2,North East,3.0,Pooja Room,0-1,5.0,premium
70.0,Tellapur,1350.0,Under Construction,Unfurnished,2,2,1,East,4.0,Pooja Room,0-1,7.0,low
65.0,Tellapur,1585.0,Under Construction,Unfurnished,3,3,1,East,7.0,Pooja Room,0-1,15.0,low
34.48,Bacharam,1150.0,Under Construction,Unfurnished,2,2,2,North,2.0,Pooja Room,0-1,5.0,premium
36.0,Beeramguda,1050.0,Under Construction,Unfurnished,2,3,3,East,6.0,"Pooja Room,Study Room,Extra Room",0-1,9.0,premium
140.0,Hafeezpet,2237.1499999999996,Ready To Move,Furnished,3,3,1,East,5.0,Pooja Room,2-4,10.0,high
69.46,Kollur,1579.0,Under Construction,Semi-Furnished,3,3,2,East,5.0,Pooja Room,0-1,15.0,low
45.0,Gandi Maisamma,1125.0,Ready To Move,Unfurnished,2,2,1,North East,2.0,Pooja Room,0-1,5.0,premium
33.73,Bacharam,1125.0,Under Construction,Unfurnished,2,2,2,East,2.0,Extra Room,0-1,5.0,premium
22.49,Yadagirigutta,1000.0,Under Construction,Unfurnished,2,2,1,East,4.0,Extra Room,0-1,5.0,premium
76.9,Manikonda,1326.0,Ready To Move,Unfurnished,3,3,2,North,18.0,Servant Room,0-1,5.0,premium
36.29,Bhanur,1210.0,Under Construction,Unfurnished,2,2,1,West,4.0,Pooja Room,0-1,10.0,premium
44.0,Hayathnagar,1100.0,Under Construction,Unfurnished,2,2,1,North East,18.0,Pooja Room,0-1,5.0,premium
42.0,Bhanur,1400.0,Under Construction,Unfurnished,3,3,2,West,2.0,Pooja Room,0-1,10.0,low
33.73,Bacharam,1125.0,Under Construction,Unfurnished,2,2,2,East,4.0,Extra Room,0-1,5.0,premium
32.98,Bacharam,1100.0,Under Construction,Unfurnished,2,2,2,South East,5.0,Pooja Room,0-1,5.0,premium
102.0,Shaikpet,1800.0,Ready To Move,Unfurnished,4,2,1,East,5.0,Extra Room,0-1,6.0,low
60.48,Gajularamaram,1100.0,Ready To Move,Unfurnished,2,2,1,East,1.0,Pooja Room,0-1,5.0,premium
39.15,Bacharam,1450.0,Under Construction,Unfurnished,3,2,2,East,4.0,Pooja Room,2-4,5.0,low
39.15,Bacharam,1450.0,Under Construction,Unfurnished,3,2,1,East,4.0,Pooja Room,2-4,5.0,low
98.0,Kollur,2237.1499999999996,Under Construction,Unfurnished,3,3,1,East,4.0,Pooja Room,0-1,15.0,high
25.2,Shamirpet,1050.0,Ready To Move,Unfurnished,2,2,2,North East,5.0,Pooja Room,0-1,5.0,premium
100.0,Gachibowli,1500.0,Ready To Move,Unfurnished,3,3,1,North,3.0,Pooja Room,0-1,10.0,low
85.0,Bachupally,1650.0,Ready To Move,Semi-Furnished,3,2,1,East,18.0,Pooja Room,2-4,13.0,low
